Russian,Polish
Очередь (Длинная очередь в магазин),Kolejka (Długa kolejka do sklepu)
Коллекция (Моя коллекция пластинок),Kolekcja (Moja kolekcja płyt)
Колядка (Колядка на Рождество),Kolęda (Kolęda na Boże Narodzenie)
Колония (Летний лагерь для детей),Kolonia (Kolonia letnia dla dzieci)
Команда; отделение (Отделение полиции),Komenda (Komenda policji)
Коммерческий (Коммерческая реклама),Komercyjny (Reklama komercyjna)
Комиссия (Экзаменационная комиссия),Komisja (Komisja egzaminacyjna)
Комитет (Организационный комитет),Komitet (Komitet organizacyjny)
Клетка; мобильный (Клетка в организме),Komórka (Komórka w organizmie)
Компьютер (У меня новый компьютер),Komputer (Mam nowy komputer)
Сообщение (У меня сообщение для вас),Komunikat (Mam komunikat dla was)
Состояние (Я в хорошей форме),Kondycja (Jestem w dobrej kondycji)
Конференция (Конференция в Гданьске),Konferencja (Konferencja w Gdańsku)
Конфликт (У меня конфликт с соседом),Konflikt (Mam konflikt z sąsiadem)
Обязательно (Мне обязательно нужно идти),Koniecznie (Muszę koniecznie iść)
Конкуренция (У меня конкуренция в бизнесе),Konkurencja (Mam konkurencję w biznesie)
Последствие (У меня последствия моего поступка),Konsekwencja (Mam konsekwencje swojego czynu)
Консультация (У меня консультация с врачом),Konsultacja (Mam konsultację z lekarzem)
Контракт (Я подписал контракт),Kontrakt (Podpisałem kontrakt)
Счёт (У меня счёт в банке),Konto (Mam konto w banku)
Копия (Сделай копию документов),Kopia (Zrób kopię dokumentów)
Коронавирус (Коронавирус изменил мир),Koronawirus (Koronawirus zmienił świat)
Выгода (У меня финансовая выгода),Korzyść (Mam korzyści finansowe)
Рубашка (У меня белая рубашка),Koszula (Mam białą koszulę)
Креативный (Я креативный),Kreatywny (Jestem kreatywny)
Кредит (У меня кредит в банке),Kredyt (Mam kredyt w banku)
Критерий (Критерий выбора),Kryterium (Kryterium wyboru)
Кратко (Говори кратко),Krótko (Mów krótko)
Стул (Садись на стул),Krzesło (Usiądź na krześle)
Крик (Я слышу крик),Krzyk (Słyszę krzyk)
Ксёндз (Ксёндз в костёле),Ksiądz (Ksiądz w kościele)
Книжный магазин (Книжный магазин в центре),Księgarnia (Księgarnia w centrum)
Форма (Какая форма?),Kształt (Jaki jest kształt?)
Кухня (Я люблю свою кухню),Kuchnia (Lubię swoją kuchnię)
Культура (Польская культура),Kultura (Polska kultura)
Двоюродный брат (Мой двоюродный брат живёт в Лондоне),Kuzyn (Mój kuzyn mieszka w Londynie)
Сумма (Какая сумма?),Kwota (Jaka jest kwota?)
Лететь (Самолёт летит в Варшаву),Lecieć (Samolot leci do Warszawy)
Лекарство (Я принимаю лекарство каждый день),Lekarstwo (Biorę lekarstwo codziennie)
Лёгкий (Это лёгкое),Lekki (To jest lekkie)
Лучше (Я чувствую себя лучше),Lepiej (Czuję się lepiej)
Лицензия (У меня лицензия пилота),Licencja (Mam licencję pilota)
Лимузин (Лимузин на свадьбу),Limuzyna (Limuzyna na ślub)
Линия (Прямая линия),Linia (Prosta linia)
Список (Список покупок),Lista (Lista zakupów)
Литература (Я читаю польскую литературу),Literatura (Czytam literaturę polską)
Холодильник (Холодильник полный),Lodówka (Lodówka jest pełna)
Помещение (У меня помещение в аренду),Lokal (Mam lokal do wynajęcia)
Население (Население Гданьска),Ludność (Ludność Gdańska)
Февраль (Февраль — холодный месяц),Luty (Luty to zimny miesiąc)
Лёгкий (Это лёгкое задание),Łatwy (To łatwe zadanie)
Соединять (Я соединяю слова),Łączyć (Łączę słowa)
Склад; журнал (Склад с товарами),Magazyn (Magazyn z towarami)
Май (Май — красивый месяц),Maj (Maj to piękny miesiąc)
Мастер (Мастер в мастерской),Majster (Majster w warsztacie)
Макияж (Я делаю макияж),Makijaż (Robię makijaż)
Рисовать (Я рисую картину),Malować (Maluję obraz)
Морковь (Купи морковь для супа),Marchew (Kup marchew na zupę)
Март (Март — весенний месяц),Marzec (Marzec to wiosenny miesiąc)
Массаж (Расслабляющий массаж),Masaż (Masaż relaksacyjny)
Машина (Кофемашина),Maszyna (Maszyna do kawy)
Математика (Математика в школе),Matematyka (Matematyka w szkole)
Материал (Материал на платье),Materiał (Materiał na sukienkę)
Матч (Футбольный матч),Mecz (Mecz piłki nożnej)
Медаль (Я получил медаль),Medal (Dostałem medal)
Медицинский (Медицинское образование),Medyczny (Studia medyczne)
Мера (Мера успеха),Miara (Miara sukcesu)
Меч (Рыцарский меч),Miecz (Miecz rycerski)
Между (Между нами),Miedzy (Między nami)
Мягкий (Хлеб мягкий),Miękki (Chleb jest miękki)
Любовь (Любовь к музыке),Miłość (Miłość do muzyki)
Министр (Министр образования),Minister (Minister edukacji)
Министерство (Министерство финансов),Ministerstwo (Ministerstwo Finansów)
Минус (Минус пять градусов),Minus (Minus pięć stopni)
Миссия (Моя жизненная миссия),Misja (Moja misja życiowa)
Молодость (Я вспоминаю молодость),Młodość (Wspominam młodość)
Молитва (Молитва в костёле),Modlitwa (Modlitwa w kościele)
Мокрый (Я мокрый от дождя),Mokry (Jestem mokry od deszczu)
Монета (Старая монета),Moneta (Stara moneta)
Монтаж (Сборка мебели),Montaż (Montaż mebli)
Мост (Мост в Гданьске),Most (Most w Gdańsku)
Мотоцикл (У меня мотоцикл),Motocykl (Mam motocykl)
Мотор (Двигатель машины),Motor (Motor samochodu)
Мыть (Я мою руки),Myć (Myję ręce)
Ближайший (Ближайшая остановка),Najbliższy (Najbliższy przystanek)
Приказ (Судебный приказ),Nakaz (Nakaz sądowy)
Наркотик (Наркотики нелегальны),Narkotyk (Narkotyki są nielegalne)
Национальный (Национальный праздник),Narodowy (Święto narodowe)
Подросток (Я подросток),Nastolatek (Jestem nastolatkiem)
Вести переговоры (Я веду переговоры об условиях договора),Negocjować (Negocjuję warunki umowy)
Невозможный (Это невозможно),Niemożliwy (To niemożliwe)
Отсутствующий (Я отсутствовал),Nieobecny (Byłem nieobecny)
Независимость (Независимость Польши),Niepodległość (Niepodległość Polski)
Нести (Я несу покупки),Nieść (Niosę zakupy)
Летучая мышь (Летучая мышь в пещере),Nietoperz (Nietoperz w jaskini)
Независимый (Я независимый),Niezależny (Jestem niezależny)
Никакой; средний (род) (Это средний род),Nijaki (To rodzaj nijaki)
Уничтожать (Не уничтожай вещи),Niszczyć (Nie niszcz rzeczy)
Ночлег (Я ищу ночлег),Nocleg (Szukam noclegu)
Нормальный (Это нормально),Normalny (To normalne)
Носить (Я ношу очки),Nosić (Noszę okulary)
Заметка (Делать заметки),Notatka (Robić notatki)
Современный (Это современный город),Nowoczesny (To nowoczesne miasto)
Нож (Нож для резки),Nóż (Nóż do krojenia)
Скучный (Это скучный фильм),Nudny (To nudny film)
Обед (Я обедаю в два),Obiad (Jem obiad o drugiej)
Объект (Это новый спортивный объект),Obiekt (To nowy obiekt sportowy)
Обещание (Я держу обещание),Obietnica (Dotrzymuję obietnicy)
Облигация (У меня государственные облигации),Obligacja (Mam obligacje państwowe)
Картина; образ (У меня картина на стене),Obraz (Mam obraz na ścianie)
Область; территория (Большая территория),Obszar (Duży obszar)
Оценивать (Я оцениваю ситуацию),Oceniać (Oceniam sytuację)
Ожидать (Я ожидаю ответа),Oczekiwać (Oczekuję na odpowiedź)
Отделение (Отделение банка),Oddział (Oddział banku)
Одежда (Спортивная одежда),Odzież (Odzież sportowa)
Костёр (Костёр на пляже),Ognisko (Ognisko na plaży)
Общий (Общее правило),Ogólny (Ogólna zasada)
Огромный (Огромный дом),Ogromny (Ogromny dom)
Окно (Окно в комнате),Okno (Okno w pokoju)
Обстоятельство (Смягчающие обстоятельства),Okoliczność (Okoliczności łagodzące)
Период (Испытательный период),Okres (Okres próbny)
Определённый (В определённое время),Określony (W określonym czasie)
Масло (Масло для жарки),Olej (Olej do smażenia)
Опекун (Я опекун ребёнка),Opiekun (Jestem opiekunem dziecka)
Рассказ; повесть (Рассказ о Гданьске),Opowieść (Opowieść o Gdańsku)
Задержка (Задержка поезда),Opóźnienie (Opóźnienie pociągu)
Оптимист (Я оптимист),Optymista (Jestem optymistą)
Оригинальный (Это оригинальная идея),Oryginalny (To oryginalny pomysł)
Подходить (Это тебе подходит),Pasować (To pasuje do ciebie)
Страсть (Моя страсть — фотография),Pasja (Moja pasja to fotografia)
Полоса; диапазон (Горная гряда),Pasmo (Pasmo górskie)
Паспорт (У меня паспорт),Paszport (Mam paszport)
Смотреть (Я смотрю на море),Patrzeć (Patrzę na morze)
Ноготь (Я стригу ногти),Paznokieć (Obcinam paznokcie)
Толкать (Толкай дверь),Pchać (Pchaj drzwi)
Педагог (Школьный педагог),Pedagog (Pedagog szkolny)
Зарплата (Моя зарплата хорошая),Pensja (Moja pensja jest dobra)
Перспектива (Новая перспектива),Perspektywa (Nowa perspektywa)
"Уверенно; наверное (Наверное, да)",Pewnie (Pewnie tak)
Пианино (Я играю на пианино),Pianino (Gram na pianinie)
Печь (Печь на кухне),Piec (Piec w kuchni)
Печать (Печать на документе),Pieczątka (Pieczątka na dokumencie)
Жаркое (Жаркое из свинины),Pieczeń (Pieczeń wieprzowa)
Деньги (Мне нужны деньги),Pieniądze (Potrzebuję pieniędzy)
Грудь (У неё сильная грудь),Pierś (Ma silne piersi)
Собачка (Маленькая собачка),Piesek (Mały piesek)
Песня (Красивая песня),Piosenka (Ładna piosenka)
Перо; ручка (Перьевая ручка),Pióro (Pióro wieczne)
Подвал (Подвал в доме),Piwnica (Piwnica w domu)
Пицца (Я люблю пиццу),Pizza (Lubię pizzę)
Пирог (Пирог по-венгерски),Placek (Placek po węgiersku)
Плакат (Плакат на стене),Plakat (Plakat na ścianie)
Планета (Земля — планета),Planeta (Ziemia to planeta)
Платформа (Образовательная платформа),Platforma (Platforma edukacyjna)
Плюс (Плюс пять градусов),Plus (Plus pięć stopni)
Плита; пластинка (Компакт-диск),Płyta (Płyta CD)
Плавать (Я плаваю в бассейне),Pływać (Pływam w basenie)
Почта (Я иду на почту),Poczta (Idę na pocztę)
Чувство (У меня есть чувство юмора),Poczucie (Mam poczucie humoru)
Заявление (Я подаю заявление о работе),Podanie (Składam podanie o pracę)
Налог (Я плачу налоги),Podatek (Płacę podatki)
Учебник (Учебник польского),Podręcznik (Podręcznik do polskiego)
Поблагодарить (Хочу тебя поблагодарить),Podziękować (Chcę ci podziękować)
Поэт (Это известный поэт),Poeta (To znany poeta)
Транспортное средство (Механическое транспортное средство),Pojazd (Pojazd mechaniczny)
Показ (Показ мод),Pokaz (Pokaz mody)
Палуба (Палуба корабля),Pokład (Pokład statku)
Поколение (Новое поколение),Pokolenie (Nowe pokolenie)
Преодолеть (Я преодолел трудности),Pokonać (Pokonałem trudności)
Полицейский (Полицейский на улице),Policjant (Policjant na ulicy)
Политика (Внешняя политика),Polityka (Polityka zagraniczna)
Полюбить (Я полюбил этот город),Polubić (Polubiłem to miasto)
Апельсин (Апельсиновый сок),Pomarańcza (Sok z pomarańczy)
Полезный (Это было полезно),Pomocny (To było pomocne)
Поддержка (У меня поддержка семьи),Poparcie (Mam poparcie rodziny)
Правильность (Грамматическая правильность),Poprawność (Poprawność gramatyczna)
Порция (Порция картошки фри),Porcja (Porcja frytek)
Роды (Роды в больнице),Poród (Poród w szpitalu)
Бумажник (Бумажник для денег),Portfel (Portfel na pieniądze)
Портрет (Портрет на стене),Portret (Portret na ścianie)
Приём пищи (Главный приём пищи дня),Posiłek (Główny posiłek dnia)
Послушать (Послушай эту песню),Posłuchać (Posłuchaj tej piosenki)
Прогресс (Технологический прогресс),Postęp (Postęp technologiczny)
Решить (Я решил переехать),Postanowić (Postanowiłem się przeprowadzić)
Поиск (Поиск работы),Poszukiwanie (Poszukiwanie pracy)
Потом (Потом я пойду в магазин),Potem (Potem pójdę do sklepu)
Мощь (Мощь природы),Potęga (Potępa przyrody)
Воздух (Свежий воздух),Powietrze (Świeże powietrze)
Повесить (Повесь картину на стену),Powiesić (Powieś obraz na ścianie)
Увеличить (Увеличь фото),Powiększyć (Powiększ zdjęcie)
Призвание (Моё призвание — музыка),Powołanie (Moje powołanie to muzyka)
Повторять (Я повторяю слова),Powtarzać (Powtarzam słówka)
Остаться (Останься со мной),Pozostać (Pozostań ze mną)
Позволить (Позволь мне пройти),Pozwolić (Pozwól mi przejść)
Полка (Полка для книг),Półka (Półka na książki)
Стирка (Я делаю стирку),Pranie (Robię pranie)
Пресса (Я читаю прессу),Prasa (Czytam prasę)
Точный (Будь точным),Precyzyjny (Bądź precyzyjny)
Предпочитать (Я предпочитаю кофе),Preferować (Preferuję kawę)
Президент (Президент города),Prezydent (Prezydent miasta)
Процесс (Процесс производства),Proces (Proces produkcji)
Производитель (Производитель машин),Producent (Producent samochodów)
Производство (Производство фильма),Produkcja (Produkcja filmu)
Профессия (Какая твоя профессия?),Profesja (Jaka jest twoja profesja?)
Акция; продвижение (Акция в магазине),Promocja (Promocja w sklepie)
Протест (Уличный протест),Protest (Protest uliczny)
Провинция (Провинция в Польше),Prowincja (Prowincja w Polsce)
Предприятие (Государственное предприятие),Przedsiębiorstwo (Przedsiębiorstwo państwowe)
Детский сад (Ребёнок идёт в детский сад),Przedszkole (Dziecko idzie do przedszkola)
Убеждение (У меня сильные убеждения),Przekonanie (Mam silne przekonania)
Перелёт (Перелёт над городом),Przelot (Przelot nad miastem)
Пространство (Открытое пространство),Przestrzeń (Otwarta przestrzeń)
Препятствие (Препятствие на дороге),Przeszkoda (Przeszkoda na drodze)
Прошлое (Прошлое города),Przeszłość (Przeszłość miasta)
Тендер (Публичный тендер),Przetarg (Przetarg publiczny)
Преимущество (У меня преимущество),Przewaga (Mam przewagę)
Через (Я иду через парк),Przez (Idę przez park)
Предок (Мои предки),Przodek (Moi przodkowie)
Будущий (Будущий год),Przyszły (Przyszły rok)
Приключение (У меня приключение),Przygoda (Mam przygodę)
Приём; вечеринка (День рождения),Przyjęcie (Przyjęcie urodzinowe)
"По крайней мере (По крайней мере, попробуй)",Przynajmniej (Przynajmniej spróbuj)
Природа (Польская природа),Przyroda (Polska przyroda)
Наречие (Наречие в предложении),Przysłówek (Przysłówek w zdaniu)
Остановка (Автобусная остановка),Przystanek (Przystanek autobusowy)
Привилегия (У меня привилегии),Przywilej (Mam przywileje)
Психолог (Психолог в школе),Psycholog (Psycholog w szkole)
Публичный (Общественный транспорт),Publiczny (Transport publiczny)
Публикация (Новая публикация),Publikacja (Nowa publikacja)
Пустой (Пустая комната),Pusty (Pusty pokój)
Пустить (Отпусти это),Puścić (Puść to)
Счёт; чек (Попрошу счёт),Rachunek (Poproszę rachunek)
Радио (Я слушаю радио),Radio (Słucham radia)
Рай (Рай на земле),Raj (Raj na ziemi)
Рак (Рак — это болезнь),Rak (Rak to choroba)
Раса; порода (Порода собаки),Rasa (Rasa psa)
Реализовать (Я реализую план),Realizować (Realizuję plan)
Рецепт (Рецепт от врача),Recepta (Recepta od lekarza)
Реформа (Реформа образования),Reforma (Reforma edukacji)
Регион (Поморский регион),Region (Region pomorski)
Регистрация (Регистрация на курс),Rejestracja (Rejestracja na kurs)
Рекорд (Рекорд Польши),Rekord (Rekord Polski)
Отношение; связь (Репортаж с мероприятия),Relacja (Relacja z wydarzenia)
Религия (Христианская религия),Religia (Religia chrześcijańska)
Ремонт (Ремонт квартиры),Remont (Remont mieszkania)
Результат (Хороший результат),Rezultat (Dobry rezultat)
Полотенце (Полотенце на пляж),Ręcznik (Ręcznik na plażę)
Роль (Моя роль в проекте),Rola (Moja rola w projekcie)
Роман (Я читаю роман),Roman (Czytam romans)
Растение (Комнатное растение),Roślina (Roślina doniczkowa)
Раздел; глава (Новая глава в жизни),Rozdział (Nowy rozdział w życiu)
Начать (Я начну учёбу в понедельник),Rozpocząć (Rozpocznę naukę w poniedziałek)
Понимание (У меня хорошее понимание языка),Rozumienie (Mam dobre rozumienie języka)
Разница (Большая разница),Różnica (Duża różnica)
Рубеж (Рубеж города),Rubież (Rubież miasta)
Движение (Движение на улице),Ruch (Ruch na ulicy)
Рыжий (У меня рыжие волосы),Rudy (Mam rude włosy)
Ромашка (Ромашковый чай),Rumianek (Herbata z rumianku)
Двигаться (Давайте двигаться!),Ruszać (Ruszajmy!)
Рыбак (Рыбак у озера),Rybak (Rybak nad jeziorem)
Рисовать (Я рисую картинку),Rysować (Rysuję obrazek)
Ритм (Ритм музыки),Rytm (Rytm muzyki)
Редкий (Это редкое явление),Rzadki (To rzadkie zjawisko)
Река (Река в городе),Rzeka (Rzeka w mieście)
Ремесло (Художественное ремесло),Rzemiosło (Rzemiosło artystyczne)
Действительность (Действительность иная),Rzeczywistość (Rzeczywistość jest inna)
Представитель (Представитель полиции),Rzecznik (Rzecznik policji)
Удовлетворение (У меня удовлетворение),Satysfakcja (Mam satysfakcję)
Секрет (Это секрет),Sekret (To sekret)
Секретарь (Секретарь в офисе),Sekretarka (Sekretarka w biurze)
Сектор (Частный сектор),Sektor (Sektor prywatny)
Сон (У меня красивый сон),Sen (Mam piękny sen)
Старший (Старший в семье),Senior (Senior w rodzinie)
Разделение (Разделение с семьёй),Separacja (Separacja od rodziny)
Сердце (Моё сердце бьётся для тебя),Serce (Moje serce bije dla ciebie)
Серия (Серия событий),Seria (Seria wydarzeń)
Сервер (Сервер в фирме),Serwer (Serwer w firmie)
Сессия (Экзаменационная сессия),Sesja (Sesja egzaminacyjna)
Сидеть (Я сижу на стуле),Siedzieć (Siedzę na krześle)
Сила (У меня сила),Siła (Mam siłę)
Двигатель (Двигатель машины),Silnik (Silnik samochodu)
Платье (У меня красное платье),Sukienka (Mam czerwoną sukienkę)
Сумма (Сумма денег),Suma (Suma pieniędzy)
Суррогация (Суррогация — юридический процесс),Surogacja (Surogacja to proces prawny)
Шкаф (Шкаф в комнате),Szafa (Szafa w pokoju)
Шанс (У меня шанс на выигрыш),Szansa (Mam szansę na wygraną)
Стакан (Стакан воды),Szklanka (Szklanka wody)
Искусственный (Искусственный интеллект),Sztuczny (Sztuczna inteligencja)
Искусство; пьеса (Современное искусство),Sztuka (Sztuka współczesna)
Расследование (Расследование по делу),Śledztwo (Śledztwo w sprawie)
Мусорка (Выброси в мусорку),Śmietnik (Wyrzuć do śmietnika)
Петь (Я пою песню),Śpiewać (Śpiewam piosenkę)
Свидетельствовать (Я оказываю услуги),Świadczyć (Świadczę usługi)
Сознание (У меня есть осознание ситуации),Świadomość (Mam świadomość sytuacji)
Свет (Включи свет),Światło (Zapal światło)
Планшет (У меня планшет для учёбы),Tablet (Mam tablet do nauki)
Тарелка (Тарелка на стол),Talerz (Talerz na stół)
Дешёвый (Это дешёвый отель),Tani (To tani hotel)
Папа (Мой папа — инженер),Tata (Mój tata jest inżynierem)
Темп (Быстрый темп),Tempo (Szybkie tempo)
Терапия (Психологическая терапия),Terapia (Terapia psychologiczna)
Территория (Территория Польши),Terytorium (Terytorium Polski)
Скучать (Я скучаю по дому),Tęsknić (Tęsknię za domem)
Толпа (Толпа на улице),Tłum (Tłum na ulicy)
Объяснять; переводить (Я перевожу текст),Tłumaczyć (Tłumaczę tekst)
Товар (Товар в магазине),Towar (Towar w sklepie)
Традиция (Польская традиция),Tradycja (Polska tradycja)
Трагедия (Трагедия в театре),Tragedia (Tragedia w teatrze)
Относиться; трактовать (Я отношусь к этому серьёзно),Traktować (Traktuję to poważnie)
"Утверждать (Я утверждаю, что прав)","Twierdzić (Twierdzę, że mam rację)"
Творец (Создатель фильма),Twórca (Twórca filmu)
Добиваться (Я претендую на работу),Ubiegać (Ubiegam się o pracę)
Сходить; считаться (Он считается экспертом),Uchodzić (Uchodzi za eksperta)
Честный (Я честный),Uczciwy (Jestem uczciwy)
Вуз (Высшее учебное заведение),Uczelnia (Uczelnia wyższa)
Ученик (Ученик в школе),Uczeń (Uczeń w szkole)
Чувство (У меня чувство голода),Uczucie (Mam uczucie głodu)
Соглашение (Судебное соглашение),Ugoda (Ugoda sądowa)
Отрицательный (Отрицательное число),Ujemny (Liczba ujemna)
Система; договор (Нервная система),Układ (Układ nerwowy)
Украинский (Я учу украинский),Ukraiński (Uczę się ukraińskiego)
Ультразвук (Ультразвук в медицине),Ultradźwięk (Ultradźwięk w medycynie)
Договор (Трудовой договор),Umowa (Umowa o pracę)
Университет (Гданьский университет),Uniwersytet (Uniwersytet Gdański)
Падение (Падение с велосипеда),Upadek (Upadek z roweru)
Упрямый (Я упрямый),Uparty (Jestem uparty)
Сувенир (Сувенир для гостей),Upominek (Upominek dla gości)
Учреждение (Городская администрация),Urząd (Urząd miasta)
Чиновник (Чиновник в офисе),Urzędnik (Urzędnik w biurze)
Удержать (Удержи равновесие),Utrzymać (Utrzymaj równowagę)
Обожать (Я обожаю путешествия),Uwielbiać (Uwielbiam podróże)
Признать (Я признал свою ошибку),Uznać (Uznałem swój błąd)
Недостаток (Дефект зрения),Wada (Wada wzroku)
Вес (Вес тела),Waga (Waga ciała)
Бороться (Я борюсь за своё),Walczyć (Walczę o swoje)
Борьба (Борьба за лучшее завтра),Walka (Walka o lepsze jutro)
Стая (Стая волков),Wataha (Wataha wilków)
Узкий (Узкая улица),Wąski (Wąska ulica)
Вдова (Вдова после мужа),Wdowa (Wdowa po mężu)
Уголь (Каменный уголь),Węgiel (Węgiel kamienny)
Вера (У меня есть вера),Wiara (Mam wiarę)
Вилка (Вилка на столе),Widelec (Widelec na stole)
Вечный (Вечная любовь),Wieczny (Wieczna miłość)
Знание (Знание о Польше),Wiedza (Wiedza o Polsce)
Великий (Великий успех),Wielki (Wielki sukces)
Свинина (Свинина на обед),Wieprzowina (Wieprzowina na obiad)
Верить (Я верю в себя),Wierzyć (Wierzę w siebie)
Вешалка (Вешалка для одежды),Wieszak (Wieszak na ubrania)
Больше (Я хочу больше),Więcej (Chcę więcej)
"Итак; поэтому (Итак, у меня есть время)",Więc (Mam więc czas)
Заключённый (Заключённый в тюрьме),Więzień (Więzień w więzieniu)
Вилла (Живёт в вилле),Willi (Mieszka w willi)
Лифт (Лифт в доме),Winda (Winda w bloku)
Вино (Красное вино),Wino (Czerwone wino)
Вирус (Компьютерный вирус),Wirus (Wirus komputerowy)
Вишлист (Мой вишлист на день рождения),Wishlista (Moja wishlista na urodziny)
Видение (У меня есть видение будущего),Wizja (Mam wizję przyszłości)
Власть (Государственная власть),Władza (Władza państwowa)
Вывод; заявление (Заявление о работе),Wniosek (Wniosek o pracę)
Внук (Моему внуку два года),Wnuczek (Mój wnuczek ma dwa lata)
Свобода (Свобода слова),Wolność (Wolność słowa)
Война (Война в Украине),Wojna (Wojna na Ukrainie)
Зов (Зов о помощи),Wołanie (Wołanie o pomoc)
Обет (Обеты в костёле),Wota (Wota w kościele)
Восток; восход (Восход солнца),Wschód (Wschód słońca)
Совместно (Мы делаем это вместе),Wspólnie (Robimy to wspólnie)
Современный (Современное искусство),Współczesny (Współczesna sztuka)
Сотрудничество (Международное сотрудничество),Współpraca (Współpraca międzynarodowa)
Вселенная (Вселенная бесконечна),Wszechświat (Wszechświat jest nieskończony)
Всякий (Все права защищены),Wszelki (Wszelkie prawa zastrzeżone)
Вилка (штепсель) (Вилка в розетку),Wtyczka (Wtyczka do gniazdka)
Экскурсия (Экскурсия в Гданьск),Wycieczka (Wycieczka do Gdańska)
Издание (Новое издание книги),Wydanie (Nowe wydanie książki)
Расход (Большой расход),Wydatek (Duży wydatek)
Лекция (Лекция в университете),Wykład (Wykład na uniwersytecie)
Вознаграждение (Вознаграждение за работу),Wynagrodzenie (Wynagrodzenie za pracę)
Воображение (У меня богатое воображение),Wyobraźnia (Mam bujną wyobraźnię)
Выплата (Зарплата в пятницу),Wypłata (Wypłata w piątek)
Усилие (Большое усилие),Wysiłek (Duży wysiłek)
Высота (Высота здания),Wysokość (Wysokość budynku)
Вызов (Новый вызов),Wyzwanie (Nowe wyzwanie)
Отношение; соображение (Ради тебя),Wzgląd (Ze względu na ciebie)
Образец; формула (Узор на платье),Wzór (Wzór na sukience)
Процедура (Медицинская процедура),Zabieg (Zabieg medyczny)
Убийство (Убийство в городе),Zabójstwo (Zabójstwo w mieście)
Вопрос; проблема (Сложный вопрос),Zagadnienie (Trudne zagadnienie)
Заграничный (Иностранный язык),Zagraniczny (Język zagraniczny)
Запрет (Запрет курения),Zakaz (Zakaz palenia)
Объём; диапазон (Круг обязанностей),Zakres (Zakres obowiązków)
Достоинство (Преимущество квартиры),Zaleta (Zaleta mieszkania)
Команда; экипаж (Экипаж корабля),Załoga (Załoga statku)
Покушение (Покушение в городе),Zamach (Zamach w mieście)
Замужняя (Я замужем),Zamężny (Jestem zamężna)
Замок; застёжка (Замок крестоносцев),Zamek (Zamek krzyżacki)
Закрытый (Магазин закрыт),Zamknięty (Sklep jest zamknięty)
Заказ (Заказ в ресторане),Zamówienie (Zamówienie w restauracji)
Запас (У меня запас еды),Zapas (Mam zapas jedzenia)
Заплатить (Я заплатил счёт),Zapłacić (Zapłaciłem rachunek)
Заработок (Хороший заработок),Zarobek (Dobry zarobek)
Заместитель (Я заместитель директора),Zastępca (Jestem zastępcą dyrektora)
Применение (Применение технологии),Zastosowanie (Zastosowanie technologii)
Ресурс (Природные ресурсы),Zasób (Zasoby naturalne)
Трудоустройство (Трудоустройство в фирме),Zatrudnienie (Zatrudnienie w firmie)
Доверие (У меня доверие к тебе),Zaufanie (Mam zaufanie do ciebie)
Исследовать (Обследуй пациента),Zbadać (Zbadaj pacjenta)
Резервуар (Водный резервуар),Zbiornik (Zbiornik wodny)
Сборник (Сборник стихов),Zbiór (Zbiór wierszy)
Событие (Странное событие),Zdarzenie (Dziwne zdarzenie)
Завоевать (Я завоевал награду),Zdobyć (Zdobyłem nagrodę)
Способность (У меня языковые способности),Zdolność (Mam zdolności językowe)
Зебра (Зебра на переходе),Zebra (Zebra na przejściu)
Собрание (Собрание на работе),Zebranie (Zebranie w pracy)
Часы (Часы на стене),Zegar (Zegar na ścianie)
Земля (Земля-мать),Ziemia (Ziemia matka)
Картофель (Купи картофель),Ziemniak (Kup ziemniaki)
Зима (Зима в Гданьске),Zima (Zima w Gdańsku)
Знак (Дорожный знак),Znak (Znak drogowy)
Исчезнуть (Он исчез из дома),Zniknąć (Zniknął z domu)
Уничтожить (Я разбил телефон),Zniszczyć (Zniszczyłem telefon)
Обязательство (У меня финансовые обязательства),Zobowiązanie (Mam zobowiązania finansowe)
Обычный (Это обычный день),Zwykły (To zwykły dzień)
Продовольствие (Экологическая еда),Żywność (Żywność ekologiczna)
День рождения (У меня день рождения в мае),Urodziny (Mam urodziny w maju)
Терять (Я теряю время),Tracić (Tracę czas)
Шаг (Один шаг вперёд),Krok (Jeden krok do przodu)
Парковка (Подземная парковка),Parking (Parking podziemny)
Пребывание (Пребывание в Гданьске),Pobyt (Pobyt w Gdańsku)
Стресс (У меня стресс перед экзаменом),Stres (Mam stres przed egzaminem)
"Итак (Итак, идём?)",Zatem (Zatem idziemy?)
Способный (Я способный),Zdolny (Jestem zdolny)
Готовить (Я готовлю обед),Przygotowywać (Przygotowuję obiad)
Настоящий (Это настоящая история),Prawdziwy (To prawdziwa historia)
Помогать (Я помогаю родителям),Pomagać (Pomagam rodzicom)
Не хватать (Мне не хватает времени),Brakować (Brakuje mi czasu)
Выглядеть (Ты выглядишь хорошо),Wyglądać (Wyglądasz dobrze)
Кровать (Кровать удобная),Łóżko (Łóżko jest wygodne)
Банк (Банк в центре),Bank (Bank w centrum)
Быть (Будь терпеливым),Bądź (Bądź cierpliwy)
Отец (Мой отец — врач),Ojciec (Mój ojciec jest lekarzem)
Приветствие (Приветы из Гданьска),Pozdrowienie (Pozdrowienia z Gdańska)
Предназначить (Я назначаю деньги на отпуск),Przeznaczyć (Przeznaczam pieniądze na wakacje)
Сертификат (У меня сертификат по польскому),Certyfikat (Mam certyfikat z polskiego)
Экзаменатор (Экзаменатор был добр),Egzaminator (Egzaminator był miły)
